timestamp,source_ip,destination_ip,protocol,packet_size,threat_score
2024-01-01 00:00:00,10.0.0.5,3.3.3.3,TCP,532,23
2024-01-01 01:00:00,10.0.0.5,8.8.8.8,TCP,1162,26
2024-01-01 02:00:00,10.0.0.5,3.3.3.3,TCP,1443,18
2024-01-01 03:00:00,192.168.1.1,9.9.9.9,UDP,1242,61
2024-01-01 04:00:00,192.168.1.1,3.3.3.3,UDP,659,95
2024-01-01 05:00:00,192.168.1.1,9.9.9.9,TCP,592,14
2024-01-01 06:00:00,172.16.0.2,3.3.3.3,TCP,1281,96
2024-01-01 07:00:00,192.168.1.1,8.8.8.8,UDP,1309,77
2024-01-01 08:00:00,10.0.0.5,8.8.8.8,UDP,1293,29
2024-01-01 09:00:00,192.168.1.1,3.3.3.3,TCP,922,2
2024-01-01 10:00:00,172.16.0.2,8.8.8.8,UDP,727,19
2024-01-01 11:00:00,10.0.0.5,8.8.8.8,TCP,903,61
2024-01-01 12:00:00,10.0.0.5,8.8.8.8,TCP,290,86
2024-01-01 13:00:00,192.168.1.1,9.9.9.9,TCP,1235,1
2024-01-01 14:00:00,10.0.0.5,3.3.3.3,UDP,967,27
2024-01-01 15:00:00,192.168.1.1,3.3.3.3,UDP,1359,4
2024-01-01 16:00:00,172.16.0.2,9.9.9.9,UDP,1009,95
2024-01-01 17:00:00,192.168.1.1,9.9.9.9,UDP,1482,35
2024-01-01 18:00:00,10.0.0.5,8.8.8.8,TCP,1480,80
2024-01-01 19:00:00,172.16.0.2,8.8.8.8,UDP,1461,99
2024-01-01 20:00:00,192.168.1.1,3.3.3.3,UDP,725,18
2024-01-01 21:00:00,192.168.1.1,3.3.3.3,UDP,1017,97
2024-01-01 22:00:00,172.16.0.2,3.3.3.3,UDP,532,72
2024-01-01 23:00:00,10.0.0.5,8.8.8.8,TCP,1271,67
2024-01-02 00:00:00,10.0.0.5,3.3.3.3,TCP,644,89
2024-01-02 01:00:00,10.0.0.5,9.9.9.9,UDP,1150,55
2024-01-02 02:00:00,192.168.1.1,3.3.3.3,UDP,219,79
2024-01-02 03:00:00,172.16.0.2,9.9.9.9,UDP,428,39
2024-01-02 04:00:00,10.0.0.5,8.8.8.8,TCP,325,8
2024-01-02 05:00:00,172.16.0.2,8.8.8.8,TCP,865,44
2024-01-02 06:00:00,192.168.1.1,9.9.9.9,TCP,1430,43
2024-01-02 07:00:00,192.168.1.1,3.3.3.3,TCP,418,30
2024-01-02 08:00:00,10.0.0.5,3.3.3.3,UDP,1261,17
2024-01-02 09:00:00,192.168.1.1,3.3.3.3,UDP,703,70
2024-01-02 10:00:00,192.168.1.1,9.9.9.9,UDP,1201,84
2024-01-02 11:00:00,10.0.0.5,3.3.3.3,UDP,1418,32
2024-01-02 12:00:00,192.168.1.1,9.9.9.9,UDP,773,30
2024-01-02 13:00:00,172.16.0.2,3.3.3.3,UDP,428,91
2024-01-02 14:00:00,192.168.1.1,8.8.8.8,TCP,1208,7
2024-01-02 15:00:00,10.0.0.5,9.9.9.9,UDP,325,8
2024-01-02 16:00:00,10.0.0.5,3.3.3.3,TCP,815,33
2024-01-02 17:00:00,192.168.1.1,3.3.3.3,TCP,1327,24
2024-01-02 18:00:00,10.0.0.5,9.9.9.9,UDP,612,24
2024-01-02 19:00:00,10.0.0.5,3.3.3.3,UDP,166,2
2024-01-02 20:00:00,172.16.0.2,3.3.3.3,UDP,994,39
2024-01-02 21:00:00,172.16.0.2,9.9.9.9,TCP,430,86
2024-01-02 22:00:00,172.16.0.2,9.9.9.9,TCP,150,83
2024-01-02 23:00:00,10.0.0.5,3.3.3.3,UDP,1277,22
2024-01-03 00:00:00,172.16.0.2,3.3.3.3,UDP,528,92
2024-01-03 01:00:00,192.168.1.1,8.8.8.8,UDP,532,15
2024-01-03 02:00:00,192.168.1.1,9.9.9.9,TCP,194,37
2024-01-03 03:00:00,192.168.1.1,8.8.8.8,UDP,436,61
2024-01-03 04:00:00,192.168.1.1,3.3.3.3,TCP,356,5
2024-01-03 05:00:00,192.168.1.1,3.3.3.3,TCP,1449,7
2024-01-03 06:00:00,172.16.0.2,9.9.9.9,TCP,1279,63
2024-01-03 07:00:00,172.16.0.2,3.3.3.3,TCP,314,2
2024-01-03 08:00:00,172.16.0.2,9.9.9.9,UDP,1251,83
2024-01-03 09:00:00,172.16.0.2,3.3.3.3,UDP,991,32
2024-01-03 10:00:00,172.16.0.2,8.8.8.8,UDP,1013,7
2024-01-03 11:00:00,192.168.1.1,3.3.3.3,UDP,587,89
2024-01-03 12:00:00,10.0.0.5,3.3.3.3,UDP,1440,94
2024-01-03 13:00:00,172.16.0.2,8.8.8.8,UDP,259,56
2024-01-03 14:00:00,10.0.0.5,9.9.9.9,TCP,938,91
2024-01-03 15:00:00,10.0.0.5,9.9.9.9,UDP,127,90
2024-01-03 16:00:00,172.16.0.2,9.9.9.9,TCP,663,44
2024-01-03 17:00:00,192.168.1.1,8.8.8.8,TCP,467,12
2024-01-03 18:00:00,192.168.1.1,8.8.8.8,TCP,410,88
2024-01-03 19:00:00,172.16.0.2,3.3.3.3,UDP,939,78
2024-01-03 20:00:00,10.0.0.5,3.3.3.3,TCP,503,66
2024-01-03 21:00:00,192.168.1.1,8.8.8.8,UDP,529,84
2024-01-03 22:00:00,172.16.0.2,8.8.8.8,TCP,601,89
2024-01-03 23:00:00,10.0.0.5,9.9.9.9,UDP,643,13
2024-01-04 00:00:00,10.0.0.5,9.9.9.9,UDP,407,71
2024-01-04 01:00:00,10.0.0.5,3.3.3.3,UDP,280,70
2024-01-04 02:00:00,10.0.0.5,9.9.9.9,UDP,536,6
2024-01-04 03:00:00,172.16.0.2,9.9.9.9,TCP,1269,37
2024-01-04 04:00:00,172.16.0.2,3.3.3.3,UDP,791,63
2024-01-04 05:00:00,192.168.1.1,9.9.9.9,TCP,1485,78
2024-01-04 06:00:00,192.168.1.1,9.9.9.9,TCP,597,16
2024-01-04 07:00:00,10.0.0.5,9.9.9.9,UDP,660,68
2024-01-04 08:00:00,172.16.0.2,8.8.8.8,TCP,1407,86
2024-01-04 09:00:00,10.0.0.5,8.8.8.8,UDP,502,31
2024-01-04 10:00:00,10.0.0.5,3.3.3.3,TCP,1213,13
2024-01-04 11:00:00,192.168.1.1,3.3.3.3,TCP,1440,25
2024-01-04 12:00:00,172.16.0.2,9.9.9.9,TCP,610,76
2024-01-04 13:00:00,10.0.0.5,8.8.8.8,UDP,660,16
2024-01-04 14:00:00,10.0.0.5,9.9.9.9,UDP,1229,29
2024-01-04 15:00:00,172.16.0.2,9.9.9.9,TCP,211,17
2024-01-04 16:00:00,10.0.0.5,8.8.8.8,TCP,149,86
2024-01-04 17:00:00,10.0.0.5,8.8.8.8,TCP,1300,70
2024-01-04 18:00:00,10.0.0.5,3.3.3.3,UDP,1134,29
2024-01-04 19:00:00,192.168.1.1,9.9.9.9,TCP,1118,21
2024-01-04 20:00:00,192.168.1.1,3.3.3.3,UDP,876,10
2024-01-04 21:00:00,172.16.0.2,8.8.8.8,UDP,864,94
2024-01-04 22:00:00,10.0.0.5,8.8.8.8,UDP,555,55
2024-01-04 23:00:00,172.16.0.2,9.9.9.9,UDP,535,75
